game_id,season,week,game_type,gameday,home_team,away_team,div_game,vegas_spread_display,model_spread_display,spread_line,pred_margin,spread_edge,spread_hit,home_moneyline,away_moneyline,fair_home_ml_prob,pred_home_win_prob,ml_edge,ml_hit,total_line,home_score,away_score,actual_margin,actual_winner,is_outdoor,temp,wind,home_rest_days,away_rest_days
2025_03_CIN_MIN,2025,3,REG,2025-09-21,MIN,CIN,0,MIN -3.0,MIN -2.9,3.0,2.8564193546772003,-0.14358064532279968,False,-162.0,136.0,0.593369754159424,0.607867588253382,0.014497834093958106,1.0,41.5,48.0,10.0,38.0,home,0,70.0,0.0,7,7
2025_03_PIT_NE,2025,3,REG,2025-09-21,NE,PIT,0,PIT -1.5,PIT -2.3,-1.5,-2.292058229446411,-0.7920582294464111,True,100.0,-120.0,0.4782608695652174,0.3700994083329182,-0.1081614612322992,1.0,44.5,14.0,21.0,-7.0,away,1,66.0,5.0,7,7
2025_03_KC_NYG,2025,3,REG,2025-09-21,NYG,KC,0,KC -6.0,KC -9.1,-6.0,-9.068894147872925,-3.068894147872925,True,260.0,-325.0,0.26645768025078376,0.1407860951153284,-0.12567158513545534,1.0,44.5,9.0,22.0,-13.0,away,1,65.0,5.0,7,7
2025_03_LA_PHI,2025,3,REG,2025-09-21,PHI,LA,0,PHI -3.5,PHI -2.7,3.5,2.6801493167877197,-0.8198506832122803,False,-198.0,164.0,0.6369041816941223,0.5999225118734558,-0.03698166982066653,0.0,45.5,33.0,26.0,7.0,home,1,73.0,9.0,7,7
2025_03_NO_SEA,2025,3,REG,2025-09-21,SEA,NO,0,SEA -7.5,SEA -6.0,7.5,6.010898947715759,-1.4891010522842407,False,-375.0,295.0,0.7571884984025559,0.7374522763274518,-0.01973622207510406,0.0,41.5,44.0,13.0,31.0,home,1,63.0,3.0,7,7
2025_03_ARI_SF,2025,3,REG,2025-09-21,SF,ARI,1,SF -1.5,SF -2.8,1.5,2.7855600118637085,1.2855600118637085,False,-125.0,105.0,0.5324675324675325,0.6046803285102725,0.07221279604274,1.0,44.5,16.0,15.0,1.0,home,1,72.0,7.0,7,7
2025_03_NYJ_TB,2025,3,REG,2025-09-21,TB,NYJ,0,TB -6.5,TB -8.9,6.5,8.86367654800415,2.3636765480041504,False,-345.0,275.0,0.7440690150970525,0.8278304493093058,0.08376143421225335,1.0,43.5,29.0,27.0,2.0,home,1,88.0,5.0,6,7
2025_03_IND_TEN,2025,3,REG,2025-09-21,TEN,IND,1,IND -6.0,IND -9.2,-6.0,-9.247607469558716,-3.247607469558716,True,200.0,-245.0,0.3194444444444444,0.13676157116853346,-0.18268287327591096,1.0,43.5,20.0,41.0,-21.0,away,1,84.0,8.0,7,7
2025_03_LV_WAS,2025,3,REG,2025-09-21,WAS,LV,0,WAS -2.5,WAS -3.3,2.5,3.300599992275238,0.800599992275238,True,-155.0,130.0,0.5829926410466066,0.6276284517756183,0.04463581072901168,1.0,43.5,41.0,24.0,17.0,home,1,72.0,6.0,10,6
2025_03_DET_BAL,2025,3,REG,2025-09-22,BAL,DET,0,BAL -4.5,BAL -7.1,4.5,7.071554183959961,2.571554183959961,False,-245.0,200.0,0.6805555555555556,0.7742788940940599,0.09372333853850434,0.0,53.5,30.0,38.0,-8.0,away,1,74.0,7.0,8,8
2025_04_SEA_ARI,2025,4,REG,2025-09-25,ARI,SEA,1,SEA -1.5,SEA -1.3,-1.5,-1.3244984149932861,0.17550158500671387,False,105.0,-125.0,0.4675324675324675,0.4135111268165043,-0.054021340715963206,1.0,43.5,20.0,23.0,-3.0,away,0,70.0,0.0,4,4
2025_04_WAS_ATL,2025,4,REG,2025-09-28,ATL,WAS,0,ATL -2.5,ATL -1.5,2.5,1.5012258887290955,-0.9987741112709045,False,-142.0,120.0,0.5634920634920635,0.545621031836528,-0.017871031655535496,0.0,43.5,34.0,27.0,7.0,home,0,70.0,0.0,7,7
2025_04_NO_BUF,2025,4,REG,2025-09-28,BUF,NO,0,BUF -15.5,BUF -15.4,15.5,15.435512259602547,-0.06448774039745331,True,-1350.0,800.0,0.8933823529411765,0.9431433696741792,0.049761016733002705,1.0,48.5,31.0,19.0,12.0,home,1,73.0,7.0,10,7
2025_04_GB_DAL,2025,4,REG,2025-09-28,DAL,GB,0,GB -7.0,GB -9.8,-7.0,-9.765648126602173,-2.765648126602173,False,275.0,-345.0,0.2559309849029475,0.12564035131024223,-0.1302906335927053,1.0,47.5,40.0,40.0,0.0,away,0,70.0,0.0,7,7
2025_04_CLE_DET,2025,4,REG,2025-09-28,DET,CLE,0,DET -10.0,DET -13.0,10.0,13.021795272827148,3.0217952728271484,True,-550.0,410.0,0.8118668596237336,0.9132404951107321,0.10137363548699851,1.0,44.5,34.0,10.0,24.0,home,0,70.0,0.0,6,7
2025_04_TEN_HOU,2025,4,REG,2025-09-28,HOU,TEN,1,HOU -7.5,HOU -9.5,7.5,9.469693660736084,1.969693660736084,True,-440.0,340.0,0.7819063004846527,0.8435024958961671,0.0615961954115144,1.0,39.5,26.0,0.0,26.0,home,0,70.0,0.0,7,7
